subject	block	left_stim	right_stim	stim_chosen	instruct	reward
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	sit	false
SS_08	1	2	1	1	sit	true
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	sit	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	sit	true
SS_08	1	1	2	2	sit	true
SS_08	1	2	1	1	stand	false
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	1	stand	false
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	1	stand	true
SS_08	1	1	2	2	sit	true
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	sit	false
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	sit	false
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	2	stand	true
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	sit	true
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	sit	true
SS_08	1	1	2	1	sit	true
SS_08	1	2	1	2	sit	false
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	sit	true
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	2	stand	true
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	1	sit	false
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	2	sit	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	1	stand	true
SS_08	1	2	1	1	sit	true
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	2	stand	true
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	1	sit	true
SS_08	1	2	1	2	stand	true
SS_08	1	2	1	2	sit	true
SS_08	1	2	1	1	sit	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	1	sit	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	true
SS_08	1	2	1	1	sit	false
SS_08	1	2	1	2	stand	true
SS_08	1	2	1	1	sit	false
SS_08	1	1	2	2	sit	true
SS_08	1	1	2	1	sit	false
SS_08	1	1	2	2	sit	false
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	sit	false
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	sit	false
SS_08	1	1	2	1	sit	true
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	stand	true
SS_08	1	1	2	2	sit	false
SS_08	1	1	2	1	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	true
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	1	sit	true
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	1	stand	true
SS_08	1	2	1	2	sit	true
SS_08	1	1	2	1	sit	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	true
SS_08	1	2	1	1	sit	false
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	sit	false
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	1	sit	true
SS_08	1	2	1	1	stand	true
SS_08	1	1	2	2	stand	true
SS_08	1	2	1	2	stand	true
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	1	stand	false
SS_08	1	2	1	1	sit	true
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	sit	true
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	sit	false
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	2	sit	false
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	1	sit	false
SS_08	1	2	1	2	sit	false
SS_08	1	1	2	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	false
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	1	sit	true
SS_08	1	1	2	1	stand	true
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	1	sit	false
SS_08	1	2	1	1	sit	true
SS_08	1	1	2	1	sit	true
SS_08	1	1	2	1	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	2	1	2	stand	false
SS_08	1	1	2	1	sit	true
SS_08	1	2	1	1	sit	false
SS_08	1	1	2	1	stand	true
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	2	stand	false
SS_08	1	1	2	1	sit	true
SS_08	1	1	2	2	sit	true
SS_08	1	2	1	2	stand	true
SS_08	1	1	2	2	sit	false
SS_08	1	2	1	1	sit	true
