         Fp1        Fp2        F3        Fz        F4        FC3        FCz        FC4        C3        Cz        C4        CP3        CPz        CP4        RightEar        P3        Pz        P4        
F00       0     0     0.04218919     0.01299586     0.03213505     -0.03589168     -0.04402496     -0.03297438     0.01408911     0.01630575     0.01743703     -0.009885835     0.0005154818     -0.01021082     0     0.009952743     -0.004514493     0.005806725     
F01       0     0     0.1022891     0.0069691     -0.09668865     -0.04255706     -0.0270538     0.07557771     0.006105961     -0.02501102     -0.03646781     0.0208319     -0.001678392     0.01365037     0     -0.03070566     0.003833715     -0.006444612     
F02       0     0     -0.0411564     -0.004152326     0.09758811     0.03342655     -0.08957613     -0.02781368     -0.01954808     0.0005198269     0.03667627     0.03177282     -0.02176818     -0.01641027     0     -0.03862967     0.0202387     -0.01973158     
F03       0     0     0.05120499     0.07079298     -0.1830937     -0.02045288     -0.1187047     0.2167248     -0.02206283     -0.005004951     0.1369082     0.02238281     -0.008625634     -0.1340807     0     0.003245918     0.009603521     0.008418755     
F04       0     0     0.001343847     -0.02130286     -0.01959543     -0.009203843     0.01524118     0.09256738     0.00781818     0.008072703     0.04120634     -0.01381951     0.03178779     -0.2331365     0     0.008156601     0.0100746     0.07193904     
F05       0     0     -0.01568548     -0.009337077     -0.002014716     0.1124948     0.006646932     -0.01226146     -0.05015101     0.009386419     -0.004686299     -0.1836743     0.02502844     0.03745468     0     0.09604903     -0.004035376     -0.01812433     
F06       0     0     0.02387063     -0.01855645     -0.005040756     -0.07593828     0.02721681     0.001343145     0.06980953     -0.003559433     -0.0004093156     0.1087444     0.04113868     -0.01780966     0     -0.2493146     0.05706104     0.02006566     
F07       0     0     0.01502241     -0.09971478     0.02401237     -0.05218626     0.194922     -0.04078051     0.03402681     0.005314583     -0.01035878     0.01200012     -0.06446186     0.0449575     0     0.06272523     -0.1860046     0.06374427     
F08       0     0     0.1780772     -0.0470216     -0.06230694     -0.2585206     0.1331457     0.03922892     -0.1560598     0.004053655     -0.02750772     0.2042695     -0.004590874     0.0169495     0     -0.04961849     0.009137629     -0.01644334     
F09       0     0     -0.0151525     0.005336589     -0.006394814     0.02196987     -0.007902906     0.0435249     -0.01862193     0.005159681     -0.1526141     -0.05597003     0.01301184     0.3789137     0     0.09312002     0.05219198     -0.3710836     
F10       0     0     0.07900021     0.02644394     -0.0520797     -0.3318651     0.01480015     0.07014412     0.4796875     -0.0106836     -0.0707856     -0.401493     0.03891093     0.05115431     0     0.1423387     -0.02673178     -0.01371057     
F11       0     0     0.008082109     0.01693638     -0.1081727     0.009342955     -0.06645441     0.3817738     -0.009018253     -0.008399065     -0.4940059     0.01901201     0.02092055     0.3200902     0     -0.01098006     -0.0404039     -0.01907688     
F12       0     0     0.1168224     -0.3942102     0.1398578     -0.0175687     0.2036672     -0.02373646     -0.006231645     0.01327059     -0.00967774     -0.009149917     -0.007849846     -0.0082692     0     0.01166683     -0.00887255     0.01184942     
F13       0     0     0.01293005     -0.09646984     0.01583306     -0.02424544     0.1916739     -0.01468469     0.02678944     0.002174137     -0.01318563     0.05928743     -0.4033514     0.09110948     0     -0.1187303     0.3777005     -0.1103273     
F14       0     0     -0.0113197     0.1135929     -0.01244979     0.008115512     -0.3466896     0.01718621     -0.02914375     0.4928547     -0.05059069     0.04003307     -0.3375752     0.06136784     0     -0.007720192     0.08040591     -0.01423709     
Fp1       1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Fp2       0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
