         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        Fp1        Fp2        RightEar        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
F3       28.45656     -0.7642694     -8.490234     1.997281     2.413078     0.9289811     2.626529     2.211077     -2.747464     1.680883     -2.50823     1.188966     0.1249249     1.400382     -1.051754     0     0     0     
Fz       24.06305     -7.401117     -7.117354     2.125224     3.28114     1.577975     3.328157     3.039665     -1.465525     1.708995     -1.976517     1.624591     -3.159502     1.623353     -1.17823     0     0     0     
F4       27.54409     -11.17729     -2.471952     3.179338     2.893994     1.381292     3.234775     2.864328     -1.334931     1.531605     -1.71311     2.626883     -0.4211949     1.647463     -1.518184     0     0     0     
FC3       16.75712     -2.034229     -8.600058     1.620637     1.80031     -0.791316     1.859411     1.427449     -4.743711     1.544093     -2.782985     0.9014916     0.377007     0.9616852     -0.6849883     0     0     0     
FCz       15.57016     -8.049762     -8.738584     1.981503     2.977937     1.324749     3.466211     2.888005     -1.063061     1.709425     -1.65289     1.061852     -0.8323198     1.495334     -0.9854795     0     0     0     
FC4       17.10528     -10.38744     -3.733248     5.949152     1.312318     1.132433     2.958454     2.115821     -1.028218     1.129065     -1.10248     2.730889     0.2842716     1.247585     -1.067091     0     0     0     
C3       11.62806     -3.048486     -8.119555     1.420996     0.3967997     -5.476479     0.8175566     0.2586582     -4.242425     1.195511     -0.5702813     0.4645361     0.9184084     0.5624179     -0.4247769     0     0     0     
Cz       10.91708     -8.10562     -9.035392     1.934209     1.413901     0.1860453     3.163158     0.2498696     -0.8919425     1.395284     -1.10755     0.5960964     0.8410897     -0.1720443     1.236084     0     0     0     
C4       11.82318     -9.837231     -4.582265     6.404899     -3.925398     0.5592053     2.312459     0.7156313     -0.7963017     0.1253958     -0.696218     0.3545482     1.008637     0.6203949     -0.7915778     0     0     0     
CP3       8.503983     -4.303177     -7.787385     1.385884     -0.7416115     -7.46191     -1.321332     -1.067331     -2.141513     0.7515764     -1.62079     0.5872524     1.125603     0.1421613     -0.3675254     0     0     0     
CPz       8.455054     -7.939391     -8.655024     1.781208     -1.010277     -1.445784     1.814958     -3.029007     -0.6428388     0.6184428     -0.7332556     0.7377091     1.465258     -1.03393     -0.6049645     0     0     0     
CP4       9.005164     -8.917558     -5.49638     4.377142     -6.827611     0.09297106     1.373831     -0.657939     -0.4661057     -0.7954264     -0.4025583     1.575441     1.26103     0.446986     -0.5787887     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       6.789279     -5.273462     -7.48325     1.273252     -1.177753     -5.211675     -4.597356     -2.323692     -1.096806     0.04134279     -0.4318582     0.5476582     1.395168     0.1940483     -0.3908701     0     0     0     
Pz       7.079938     -7.598709     -8.034391     1.641342     -2.263524     -2.099506     -0.6002037     -4.935721     -0.4051489     -0.8256598     -0.3340612     0.9174607     1.53623     1.235983     -0.4952046     0     0     0     
P4       6.990512     -8.091113     -6.056802     2.84051     -5.799151     -0.3672586     -0.2522712     -2.022933     -0.2444057     -3.679622     -0.2034682     1.932222     1.316313     0.4446856     -0.4530258     0     0     0     
