         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        Fp1        CPz        RightEar        Fp2        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
Fz       13.1763     2.071553     -2.419503     -5.619503     -2.23038     -3.37878     -0.1777952     -2.691468     -1.363318     -0.05621387     -2.167473     1.676224     2.824722     -0.3438134     0     0     0     0     
F3       13.81393     2.294683     -1.559595     -3.642319     -3.74869     -2.956409     3.18387     -0.4801748     -0.9200194     -0.3058609     -0.04299548     -2.037348     -0.2698226     -0.2418853     0     0     0     0     
FCz       9.540004     3.126822     -3.340507     -7.516124     -0.7445754     -3.769482     -0.1450811     -1.817476     -1.634527     0.3480128     -1.084244     1.164301     -0.6941474     -0.613879     0     0     0     0     
FC3       9.446364     3.968023     -2.194012     -3.090276     -1.363474     -3.335557     2.679591     -1.086852     -1.851081     -0.08457661     -2.349457     1.006405     -1.562767     -0.1434615     0     0     0     0     
Cz       7.482662     4.731119     -4.328012     -5.99399     -0.5298755     -3.731882     -0.8089199     -5.00424     -1.688902     0.04190212     -1.209712     0.642287     -1.045119     -0.05815987     0     0     0     0     
C3       7.574734     5.870703     -2.624509     -3.015492     -2.615518     -2.71079     1.99916     -3.794394     -1.292002     -0.3579157     2.117084     2.438078     0.1286505     -2.141357     0     0     0     0     
CPz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
CP3       5.918845     7.975334     -2.777642     -2.412263     -0.04942004     -2.208231     0.6492164     -0.7781564     -0.9180929     -0.2982075     -0.4777025     0.3990562     -0.8027439     -0.3263333     0     0     0     0     
Pz       5.120862     7.501253     -5.522064     -3.287093     -4.930329     -1.696741     -1.583941     -2.564581     -2.132784     -5.335828     -0.2221956     0.8404704     -0.9723388     0.7160358     0     0     0     0     
P3       4.864965     9.567472     -3.18012     -2.088868     -9.237437     -1.375646     -0.588336     -0.08654888     -2.769474     -0.2712756     -0.4055041     -0.8456432     -0.01600455     0.02937814     0     0     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
F4       14.87825     0.9956889     -0.5817558     -3.311075     -1.51677     -2.224073     -4.169652     -0.5263487     -0.945471     0.3278725     -0.7547039     1.525154     -1.782136     -0.2920041     0     0     0     0     
FC4       10.0283     1.979137     -3.389393     -3.311135     -0.9479306     -4.724794     -3.096038     -0.09674355     -1.655574     0.1599378     0.2522098     0.733644     -0.7937466     -0.1333601     0     0     0     0     
C4       7.385723     3.081592     -5.413986     -2.787104     -1.950671     -3.275969     -2.904114     -1.554197     -0.550561     -0.5823408     -2.511667     0.2713528     -0.9213305     -3.315938     0     0     0     0     
CP4       6.251203     4.289634     -6.870226     -2.08755     0.23451     -1.638585     -2.336087     -0.3023753     -2.388656     -0.0867287     -0.06200108     0.1264593     -1.039433     -0.02544463     0     0     0     0     
P4       4.94122     5.795244     -7.596084     -1.910541     -4.317503     -0.7992494     -2.0585     -1.729826     2.536499     -0.985606     -0.4098954     1.292922     -0.8562853     1.100813     0     0     0     0     
