         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       22.98586     -5.65918     -0.2979888     0.9488932     1.315186     -0.4910275     1.679277     1.062608     0.6224544     -1.069254     1.072553     0.2981197     0.03659178     -0.2545112     0.1706704     0.3819134     -0.08865225     0     
Fz       7.046453     -9.862162     -1.132722     0.557114     1.914628     -1.452389     2.02668     -0.06566659     0.2909047     -0.8292964     1.228307     0.3659344     0.3801221     -0.09254622     0.2583367     0.4243877     0.4375275     0     
F3       9.650496     -7.863941     -0.9523945     0.814826     1.007359     1.090057     1.803226     1.309247     0.6759011     -3.600074     0.6487189     0.1647066     0.1010846     -0.04846106     0.5820445     0.02378336     -0.2256785     0     
FCz       4.771858     -9.813046     -2.108959     0.7019954     1.560002     -1.256144     1.544845     -2.140229     0.1438655     -1.112517     1.020711     0.4356937     0.4872276     -0.08198279     0.2975945     -1.855603     0.2809088     0     
FC3       6.081329     -7.87182     -1.648068     0.5437539     -0.6014653     1.062177     1.312184     0.219463     0.5726613     -3.138887     0.452264     0.05512837     0.1546765     -0.08988316     2.544995     -0.3106346     -0.5272509     0     
Cz       3.51851     -8.607998     -4.336531     0.008695911     0.1599413     -1.043973     0.1638801     -4.171556     -0.2352863     -1.908609     0.8655431     0.1448036     0.4924273     0.1590491     0.301327     -0.6105793     -0.0241062     0     
C3       4.030692     -7.652545     -3.060234     -0.3344858     -4.255493     0.4765035     0.1424813     -1.221262     0.344122     -2.319641     0.3732388     -0.4276566     0.2570903     -0.1608941     1.254672     -0.5832826     -0.8453158     0     
CPz       2.7435     -7.293154     -7.084554     -2.341959     -1.447852     -0.9127967     -1.151953     -3.202046     -1.054006     -1.647361     0.7592138     -0.6414025     0.468124     -0.1690473     0.3160658     -0.8857046     0.05569799     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       2.823697     -6.840791     -4.512183     -2.622098     -5.883553     0.1229748     -0.8679147     -2.142908     0.02373959     -2.342334     0.4051907     -1.835252     0.3779069     -0.06355517     0.771778     -0.6621541     1.428837     0     
Pz       2.085324     -6.063817     -6.443567     -6.295403     -2.368402     -0.836632     -1.495154     -3.262109     -1.824735     -2.140375     0.6605002     -0.7885559     0.3911801     -0.1933147     0.3055855     -0.8423784     -0.2374627     0     
P3       2.132925     -5.907384     -4.72233     -4.629142     -4.763699     -0.1864544     -1.075335     -2.502697     -0.7098569     -2.080203     0.35627     -4.254291     0.386379     -0.1414792     0.566814     -0.7448076     0.2204205     0     
Fp2       20.50495     -5.294581     -0.2326028     1.101796     1.471035     -6.395581     1.333931     1.21878     0.4250253     -1.435966     1.317324     0.475306     0.06864468     -0.330801     0.111059     0.332603     0.2318601     0     
F4       7.324035     -7.884925     -0.9174662     0.5728002     1.590981     -3.806299     0.7027168     0.1012895     -0.1025025     -0.9997231     5.451976     0.3514367     1.076031     0.05937708     0.1767971     -0.1945118     0.3990766     0     
FC4       4.923602     -7.702103     -1.82757     0.2312376     1.047162     -3.168004     -1.84954     -1.096745     -0.7618709     -1.015758     3.877609     0.3325822     3.649007     0.1595455     0.2359532     -0.5461071     0.1775265     0     
C4       3.357172     -7.244589     -3.319469     -0.8750295     0.4089932     -2.289711     -5.276119     -2.006902     -1.978355     -1.104076     2.218779     -0.09707724     0.8635696     -0.09921403     0.235851     -0.6548662     0.1827284     0     
CP4       2.586952     -6.460928     -4.786627     -2.687824     -0.2385564     -1.822382     -4.508977     -2.277034     -4.106375     -1.446289     1.435656     -0.6826037     0.4592088     3.203863     0.2569394     -0.8384165     0.07266401     0     
P4       1.954099     -5.231114     -5.010271     -4.548846     -0.7818985     -1.285063     -3.135074     -2.555001     -6.429919     -1.715844     0.9535215     -1.505899     0.2772002     0.085426     0.2701757     -0.7731906     0.170056     0     
