         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        RightEar        F4        
Fp1       5.932909     19.31503     -1.713007     -1.352557     -2.603905     2.181091     2.310999     -0.3448446     -1.718642     2.347919     -7.990346     -1.355099     -0.02023073     -0.7002301     0.5920568     0.5507718     0     0     
Fz       12.33595     6.269284     -3.196612     -3.925755     -3.145556     1.536072     2.69981     -0.2786162     -1.660823     2.94875     0.8854271     0.1802499     -0.2252307     2.983561     0.9410636     0.2933905     0     0     
F3       8.92364     6.978508     -2.27887     -2.348982     -6.929272     2.224411     1.994387     -1.275868     -1.379222     2.83088     0.4255329     -7.096939     -0.1013423     -0.1764632     0.7984522     0.3529759     0     0     
FCz       13.03492     3.562824     -4.802754     -3.499378     -2.678573     0.8267367     2.442079     -0.7596279     -2.966843     2.973525     0.5429886     0.4497378     -0.5051569     -0.9296261     0.7447253     0.7219587     0     0     
FC3       8.777986     3.802266     -3.27753     -2.662668     -7.781462     1.780663     1.115097     -2.988515     -1.929599     2.951819     0.8301584     1.347522     -0.3128082     -0.4045693     0.8964151     0.5663791     0     0     
Cz       10.83096     2.409727     -7.693385     -3.23801     -2.457577     -0.4153649     1.205682     -2.032141     -5.438481     2.435957     0.5366517     0.3739605     -0.9079652     -0.8699477     0.4400756     1.266956     0     0     
C3       7.423095     2.532566     -4.554651     -2.102571     -4.770367     0.7972814     -0.8346068     -6.033067     -2.449644     2.607753     0.4756906     0.5453973     -0.4975534     -0.7478849     2.338896     0.4874917     0     0     
CPz       8.870689     1.815663     -10.93267     -3.076295     -2.072709     -2.17288     -1.473437     -3.106184     -3.453847     1.006399     0.5359719     0.2502691     -0.9800681     -0.8816313     0.3973542     0.9802228     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
CP3       7.132574     1.825824     -6.372268     -2.240292     -2.997059     -0.1232733     -4.155599     -6.889632     -2.472915     2.214138     0.4268566     0.3003362     -0.6912345     -0.6500721     -0.08053845     0.2308944     0     0     
Pz       7.44356     1.406984     -11.01866     -2.775952     -1.771727     -2.913888     -4.975839     -3.171106     -3.067803     -0.7922525     0.4529243     0.2374848     -0.894549     -0.7896463     0.399994     -2.297334     0     0     
P3       6.258904     1.462514     -6.735783     -2.093186     -2.138553     -0.8341236     -8.101471     -4.95523     -2.499583     1.802582     0.367138     0.1802494     -0.711893     -0.5871134     0.534676     -0.2193832     0     0     
Fp2       5.614915     21.204     -1.858575     -2.503438     -0.1867876     1.313132     2.804547     0.4775788     -1.661264     2.211286     3.890459     -0.2429061     -0.007886154     -2.831464     0.3720259     0.3066735     0     0     
F4       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
FC4       8.699526     3.752685     -3.476823     -8.461492     -1.511698     -1.753903     2.0492     -0.4600474     -2.001622     2.071278     0.6930534     0.1577032     -0.3725269     -0.455473     0.6472366     0.3448838     0     0     
C4       7.795058     2.589986     -4.958725     -5.806241     -1.559664     -5.203863     0.5934286     -1.398063     -2.141891     1.044387     0.6437882     0.1348878     -5.11308     -0.5570264     0.5152267     0.2096343     0     0     
CP4       7.208344     1.778018     -6.592087     -4.164911     -1.478288     -8.132058     -1.885498     -2.307549     -2.502034     -0.8423219     0.6083147     0.1507972     -0.4164928     -0.5184667     0.07966711     -0.207329     0     0     
P4       6.741199     1.438552     -6.944175     -3.575807     -1.342679     -7.087542     -4.882016     -2.436197     -2.699884     -4.978024     0.6092706     0.1416559     -0.7371513     -0.7586045     0.2765447     -0.478736     0     0     
