         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        Cz        RightEar        Pz        
Fp1       46.03918     5.36799     0.3640593     -1.208324     -1.50618     0.7267507     -4.194848     3.109142     0.2069898     2.366055     1.730995     -1.339145     0.8333775     0.03564069     -0.1771483     0     0     0     
Fz       15.58708     9.419877     -1.765418     2.394524     -3.471502     1.009924     -6.521019     2.484766     0.5939146     -2.157926     1.204766     -1.85285     0.7850342     -1.011625     -0.08436698     0     0     0     
F3       18.12751     8.075628     -1.117654     -2.774284     -3.473158     0.1089311     -4.301341     2.227066     0.8637919     -4.579939     1.361063     -1.586513     0.3007901     -0.2048269     -0.1314665     0     0     0     
FCz       10.2961     11.08967     -3.701378     1.964269     -3.152354     0.3960226     -3.55874     1.991345     0.1571515     -1.125574     1.458582     -1.030806     1.018844     -0.2133004     -0.3416783     0     0     0     
FC3       12.42042     8.065748     -2.070756     -3.306532     -4.608169     -1.860091     -2.287095     1.505598     1.01731     -2.572566     1.264855     -0.4164327     0.0512763     -1.207874     0.1075111     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
C3       8.654855     7.917183     -3.978234     -1.946569     -4.194236     -5.773014     -1.351385     0.2010923     0.6590306     -1.379124     1.50887     -0.1295976     -1.226099     -0.2615908     -0.2791926     0     0     0     
CPz       6.335269     8.686119     -8.674183     1.423296     -3.325594     -3.581169     -1.475936     -1.369369     -1.270024     -0.7395202     0.8612626     -0.4033166     1.395124     -0.5147246     -0.05442972     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
CP3       6.56537     7.350951     -4.89837     -0.9028475     -3.278739     -7.348798     -1.04647     -2.276398     0.1380355     -1.184021     2.159912     -0.3002165     0.986994     -0.506894     0.1152895     0     0     0     
Pz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       4.753081     6.214812     -5.156109     -0.164988     -2.740574     -6.066341     -0.8294112     -6.978592     -0.2391711     -0.9071949     3.319829     -0.2600373     0.3273281     -0.5047574     0.1968147     0     0     0     
Fp2       38.44224     5.306735     0.4856161     10.89407     -2.506753     0.9701743     -3.719706     3.070371     0.3886251     -2.756984     0.9066499     2.037086     0.4523223     -0.5870224     0.01502891     0     0     0     
F4       16.07147     7.36591     -1.197527     7.004385     -4.647241     1.074632     -3.967513     2.413742     -0.2788977     -1.663954     0.7885706     -4.613721     0.6456934     -0.9453332     0.03372832     0     0     0     
FC4       10.40449     7.902313     -3.050285     5.372568     -5.521813     0.1500903     -3.022844     1.827044     -2.464856     -0.6928459     1.122143     -2.305702     1.358348     1.104517     -0.3720761     0     0     0     
C4       7.614073     7.99901     -5.301636     3.971114     -4.505956     -1.809841     -1.959284     0.5173234     -5.355282     -0.5237625     0.5777887     -1.302721     1.359361     -0.5015907     -1.860146     0     0     0     
CP4       6.088659     7.682924     -6.527935     3.106582     -3.566314     -3.041262     -1.437655     -1.727831     -6.39124     -0.5481793     -0.9717725     -0.9225901     1.086154     -0.6209429     -0.1384727     0     0     0     
P4       4.579255     6.938647     -7.031225     2.260317     -2.953046     -3.368358     -1.088008     -5.814635     -5.302795     -0.3991466     -4.107173     -0.6243547     1.404836     0.2300042     -0.5804081     0     0     0     
