         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       -0.01100062     -0.005646231     0.05155987     -0.01206942     -0.05985587     0.008514291     0.03212482     0.0003962368     0     -0.004097847     -0.003604787     -0.001304778     0.03778005     0.01134217     -0.0143702     -0.01904549     -0.0146439     0.02545864     
F01       0.002893689     0.005818934     -0.01366682     0.02018945     0.03860501     0.07634426     -0.03923736     0.0003252008     0     0.01181631     -0.0281399     0.007979189     -0.01375421     -0.02448954     -0.008896783     0.01041066     0.01621278     0.01968285     
F02       -0.00513038     -0.02528049     0.08079789     0.05276893     -0.2033576     0.03450122     0.1122157     -0.0004540969     0     0.01510352     -0.002702349     -0.03814704     -0.00098787     0.005353903     0.03914679     -0.07547249     -0.04477206     0.04895778     
F03       0.08303431     -0.001995757     -0.05356204     0.03203968     -0.05295927     0.02018849     0.01559903     0.0008798762     0     0.03594734     -0.006745668     -0.0216679     -0.05645135     -0.01406711     0.09093374     -0.08858409     -0.01483041     0.02436068     
F04       0.01483175     -0.001842598     0.06923558     -0.01959633     0.06076596     -0.01618437     -0.006454031     -0.0002305659     0     -0.04328514     0.01299279     0.00742819     -0.01611369     -0.04423687     -0.02259329     -0.003032657     0.003746945     0.005957536     
F05       0.0308483     -0.01240672     0.01690943     -0.09114336     0.07119518     -0.01081795     -0.03598885     0.0008328219     0     -0.009748676     0.007237977     0.0179629     -0.06715351     0.1426246     -0.0199454     -0.02468124     0.02278347     -0.007478693     
F06       0.001333239     -0.003251147     -0.003475352     -8.682622E-05     -0.003165853     0.05642218     0.005367461     -0.1054277     0     0.01577845     0.04416571     -0.01113525     -0.0009722585     0.00123192     -0.001351355     -0.0005688739     0.004502855     0.00108236     
F07       -0.001271024     -0.0006666982     -0.01513896     0.009944781     -0.001859093     0.02116136     0.0111703     0.0005194455     0     -0.0215604     0.1156486     0.008714123     0.001332454     -0.004522094     0.03430063     0.007538682     0.003242765     -0.1918994     
F08       0.002408795     -0.008335333     -0.01389238     -0.0009491263     0.04084248     -0.01105007     0.02264676     0.0009496307     0     0.07056258     0.08979575     -0.2409837     -0.001242343     -0.00180903     0.00127331     -0.003834945     0.01451295     0.01395686     
F09       -0.0008046638     0.004439594     -0.019522     0.003916721     0.008808862     0.102669     -0.03150993     -0.001145663     0     0.08365965     -0.2743715     0.05702595     -0.001322789     -0.001707151     -0.01022313     0.01178273     0.00378666     0.06281743     
F10       0.004412822     -0.01439417     0.07406842     0.04044573     0.08131387     0.1148075     -0.4381164     7.556654E-06     0     0.1514399     -0.02755726     0.02894658     -0.006658854     -0.01857121     -0.01537389     -0.001690379     0.0203727     -0.02120647     
F11       -0.006007839     0.04047411     0.009376843     -0.3916928     0.0404559     0.4280882     -0.01397751     -0.001814482     0     -0.07193878     -0.06423626     0.02750876     0.007629593     0.02125567     0.003409955     -0.02372431     -0.02337135     0.01055477     
F12       -0.01310443     0.01875284     -0.1248592     0.06089886     0.1256845     0.05198898     -0.07765866     -0.0003359633     0     0.03713039     -0.007099531     -0.02327278     0.02215627     0.1347941     -0.2938323     0.001350063     0.02419302     0.02523924     
F13       0.003870444     -0.02218157     0.07570435     0.0511502     -0.2057353     1.290739E-05     0.1434911     0.001058447     0     -0.04878165     0.001724878     0.002721915     -0.004171165     0.04626757     -0.2105196     0.2506951     -0.09180334     -0.001325963     
F14       -0.00370441     0.009016027     -0.01701083     -0.01411236     0.05765062     -0.07398478     -0.3081935     0.0004382999     0     0.5806513     0.005067415     -0.2480512     0.005941947     0.01156708     -0.02241792     0.008053139     0.0209532     -0.001679812     
F15       -0.009188876     -0.3035866     0.01516164     0.2142532     0.1617634     -0.04064824     -0.1040966     0.0004325462     0     -0.008942043     -0.007152705     0.0225378     0.0210028     0.05549345     0.005471987     -0.02278105     0.01380907     -0.003563708     
F16       0.0004895739     0.009271041     -0.07352442     -0.02530161     0.1812537     0.003558227     -0.1152287     0.0007897583     0     0.04786795     0.01656959     -0.02342279     7.284446E-05     -0.02324096     0.07103957     0.1122627     -0.3348432     0.1619139     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
