         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        RightEar        Pz        
Fp1       43.27455     -5.611177     6.236202     -0.6976705     0.6156981     2.549979     1.158713     1.590295     1.762123     -0.1601561     -0.4515874     -1.480761     -0.2592461     0.484722     0.1873867     0.05857106     0     0     
Fz       14.31334     -10.56829     3.153945     -2.187171     3.403795     1.095973     1.123128     2.095731     1.103161     -0.1141882     0.4702894     0.2241882     -0.5746939     0.2876219     0.04132254     0.253724     0     0     
F3       19.56727     -7.859599     -1.207754     -1.629692     1.943416     1.256506     1.182234     1.350351     1.203104     -5.337242     -1.494838     2.137491     -0.4810231     0.3417827     0.681514     0.06958543     0     0     
FCz       9.077963     -9.639107     1.865815     -3.936729     5.900723     0.1517475     0.5646296     1.339296     0.7551673     0.06824233     0.08637533     0.1488624     -0.550136     0.2903605     -0.06663569     0.2684697     0     0     
FC3       11.67709     -7.421406     -2.338931     -2.473234     2.491329     0.5179266     0.821888     0.09767771     0.6365561     2.976498     -2.086652     2.717313     -0.4388974     0.2363062     0.935641     0.127741     0     0     
Cz       6.148165     -7.897148     1.342673     -6.25942     5.097503     -1.385518     -0.872264     -0.371483     -0.04129471     0.1286528     -0.3601454     0.07400453     -0.09296005     0.2844454     -0.1958063     2.151156     0     0     
C3       7.194303     -6.617792     -1.848843     -3.557966     2.572355     -0.4638451     0.2326668     -2.586789     -0.2230939     1.018665     -2.027601     2.03241     -0.233053     0.1045012     -1.824301     0.250462     0     0     
CPz       4.65928     -6.840582     0.964589     -7.26266     3.26917     -3.255752     -1.588917     -1.806484     -1.335803     0.1089815     -0.6113991     0.1077706     0.1515381     0.3375617     -0.2462683     0.4778311     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
CP3       4.698513     -5.982798     -1.081083     -3.854931     2.117697     -1.648912     -0.2052675     -5.324227     -2.258222     0.406112     -1.522222     1.191049     0.008081863     0.1044735     -0.9789143     0.1809231     0     0     
Pz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       3.338023     -5.151144     -0.3536979     -4.189031     1.738141     -3.40065     -0.7450743     -4.524604     -5.534386     0.2171909     -1.401686     0.6352697     0.1583363     0.1440881     -0.6181876     0.08508065     0     0     
Fp2       37.68615     -5.580138     14.7782     -0.4900884     0.5626157     2.604242     0.4195124     1.874658     1.966033     -0.1901297     -1.313215     0.8478968     -0.4923566     0.3482646     0.6066679     0.2933215     0     0     
F4       13.44346     -8.914857     6.777649     -1.631353     2.081647     1.031453     -0.3365618     1.823576     1.364641     -0.1451669     -2.24629     -1.222366     -0.8827286     -0.03508478     0.4110621     0.5266377     0     0     
FC4       8.007092     -8.162275     4.631032     -2.722718     2.952623     -0.06633111     -3.307032     0.7356942     0.7032076     -0.06299684     -1.577711     -1.134288     -1.337688     -2.564027     0.194273     0.6308401     0     0     
C4       5.420183     -7.237043     3.069809     -3.691959     2.965266     -1.951264     -5.205185     -0.6475951     -0.05826524     -0.03766059     -0.8995185     -0.891794     -1.024648     0.4953778     0.0756807     0.660001     0     0     
CP4       4.019238     -6.395632     2.234974     -4.342776     2.647771     -4.020873     -4.916742     -1.121751     -1.177391     -0.0182218     -0.7704645     -0.6466856     1.786231     0.2989068     0.1405036     0.3860061     0     0     
P4       2.814627     -4.890101     1.524458     -4.03651     2.021484     -8.177532     -3.443928     -1.645562     -2.262862     -0.04301157     -0.4371602     -0.4875788     0.9068682     0.1353716     0.03033824     0.4683563     0     0     
