Filename       Segment   T252T292Fz-ASNM T252T292FCz-ASNM T252T292Cz-ASNM T252T292CPz-ASNM T252T292Pz-ASNM
ss_36             1           -.----         -.----         -.----         -.----         -.----
ss_36             2           2.2023       -12.0929        -4.4218       -36.8254        -1.4230
ss_36             3           6.5315         3.9247         0.3447        -0.6555        -3.2212
ss_36             4          -8.1285        -7.1565        -3.8471        -0.6132         2.6359
ss_36             5           9.4817         6.6818         4.6857         1.9772        -4.1237
ss_36             6          11.4333         9.0326         7.9161         6.6559         4.1089
ss_36             7         -39.7194       -14.2094         1.2350        18.4270         6.4646
ss_36             8          12.4387        13.0062        13.2229         9.1952         5.5314
ss_36             9          19.2752        16.8048        13.7586         6.8674         0.5916
ss_36            10          29.8251        27.2087        25.7636        22.6950        18.4987
ss_36            11         -17.6208       -14.9839       -10.0627        -8.1909        -6.6633
ss_36            12          24.0994        19.3144        15.9899        14.4738         9.5697
ss_36            13          41.9583        30.1999        24.8138        22.4552        18.5007
ss_36            14          -9.7736       -14.7236       -20.2586       -23.8312       -24.7200
ss_36            15          10.4196        12.8184        15.4361        13.8775         9.3115
ss_36            16          22.0376        22.2595        16.4604        11.3569         6.3633
ss_36            17          -9.2687        -6.9465        -5.1631        -6.0101        -7.2213
ss_36            18          16.0327        18.8242        13.9745         7.7989         1.6222
ss_36            19           0.0411         2.5501         1.5287         2.2955         4.7753
ss_36            20           7.6230         6.1207         4.3792         3.8992         3.5696
ss_36            21          27.9803        31.1678        30.8202        30.0764        27.9811
ss_36            22          26.3764        28.5106        24.3895        22.6290        22.0715
ss_36            23           8.6295         7.2421         2.2230         0.9580        -0.1581
ss_36            24          -4.1145        -7.3524       -11.9215       -12.1207       -10.3082
ss_36            25          28.9161        34.3050        35.7643        32.9477        27.9633
ss_36            26          -3.4350        -5.1121       -11.4261       -13.1425       -12.3347
ss_36            27          -1.9173        -2.8802        -4.9045        -5.9088        -5.5191
ss_36            28          15.3879        14.6705        17.2790        21.3413        22.6529
ss_36            29           1.5651         5.5475         5.5597         6.7320         6.3757
ss_36            30           5.1822         5.6552         1.2664        -2.4988        -4.7107
ss_36            31           4.1790         2.8004         0.5711        -1.1386        -3.6940
ss_36            32          15.4859        18.0829        21.6681        21.8409        21.4341
ss_36            33          12.1417        11.0655        11.7939        11.3227        10.7756
ss_36            34          13.2713        10.4955         6.4853         2.7968        -0.7056
ss_36            35          -7.5232        -8.5214       -10.2477        -8.8832        -3.0137
ss_36            36           9.0956        13.1020        10.8182         6.1645         1.5490
ss_36            37           8.7754         4.2381        -2.1447        -7.8818        -9.6396
ss_36            38          10.6982         9.4791         8.9526         5.5543         3.6098
ss_36            39           1.2701         7.3009         1.8111        -1.7103        -5.9270
ss_36            40          35.0842        37.9224        37.4768        33.4758        28.7138
ss_36            41           7.4791         6.5433         4.1424         0.3090        -2.8049
ss_36            42           -.----         -.----         -.----         -.----         -.----
ss_36            43           -.----         -.----         -.----         -.----         -.----
ss_36            44           -.----         -.----         -.----         -.----         -.----
ss_36            45           -.----         -.----         -.----         -.----         -.----
