         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        Cz        RightEar        
Fp1       64.03902     -0.2161723     0.1216493     21.57043     -2.965197     -4.596674     2.525075     -6.577913     4.247263     2.947261     1.050965     -2.293652     0.824574     0.3181157     0.6875747     0.7336363     0     0     
Fz       23.70595     -0.1374128     0.03384257     -3.434765     -5.713872     0.8114104     4.05528     -6.919137     5.453059     3.683458     2.219514     -2.375723     0.674911     0.6967191     1.091289     0.5460609     0     0     
F3       27.40942     -0.1432416     0.08167929     -4.084738     -4.810891     0.8174416     3.340995     -0.02181018     4.853337     5.597535     1.398623     -2.388739     0.7020693     0.5726368     1.159735     0.6344998     0     0     
FCz       15.503     -0.1185555     51.4287     -2.455643     -7.509598     0.5351394     4.544698     -5.371493     6.312394     4.081913     2.441534     -1.978653     0.8674748     0.4037021     0.967696     0.6324806     0     0     
FC3       16.47034     -0.09360345     0.07484406     -2.378465     -5.915226     0.3872118     3.696104     -1.759657     4.712553     8.026674     1.255296     -3.738266     0.5746765     0.6271208     0.9783418     0.4950054     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
C3       11.40482     -0.06856128     0.07740431     -1.229045     -7.663625     -0.01274782     3.59094     -2.586659     4.617885     8.445258     0.1331541     -0.2366572     0.5804683     0.52562     0.5445722     0.3616565     0     0     
CPz       9.085018     -0.06407813     0.0638222     -0.7872145     -11.65424     0.1370838     3.682257     -3.556474     6.95256     3.172828     1.417961     -0.712254     0.4694756     -0.01651519     0.4072954     0.2575362     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       8.614477     -0.0602122     0.05356757     -0.9477791     -9.869411     0.09709006     3.166301     -2.651532     3.80459     6.584996     -2.0613     -0.4148422     0.5821485     0.4837543     -2.229836     0.2496715     0     0     
Pz       7.558458     -0.05281969     0.0163641     -0.7726668     -13.4823     0.08950247     3.249448     -3.151452     3.414534     2.802164     0.751703     -0.5762629     0.3847218     0.03805991     0.2265784     0.2228576     0     0     
P3       6.949614     -0.05452387     0.0409786     -0.5722194     -11.95513     -0.03243277     2.732782     -2.65093     2.714549     4.334072     -4.747746     -0.8360634     0.3576819     0.4053049     0.680333     0.3517227     0     0     
Fp2       63.30377     -0.2008629     0.007124639     26.37129     -3.197376     26.36116     4.165195     -8.484186     3.931799     1.147902     1.3672     -1.485333     0.6247982     0.2584875     1.062312     0.4291278     0     0     
F4       23.68105     59.14555     0.05785272     -3.433708     -4.821921     0.8813125     7.847341     -6.534762     4.465984     1.352498     2.066087     -1.706279     0.4204451     1.256335     1.09349     0.1736446     0     0     
FC4       15.05629     -0.07996204     0.06261581     -1.948107     -6.161884     0.4280846     9.839595     -5.71333     4.517112     1.52118     1.906563     -1.363981     0.2760181     0.08332841     0.8180435     0.0588254     0     0     
C4       10.98542     -0.07238703     0.05293935     -1.429392     -8.481246     0.3540332     7.696932     -4.835057     4.270257     1.805698     1.745496     -0.9271216     0.2496281     -3.948532     0.5645297     0.3901108     0     0     
CP4       8.864489     -0.05441831     0.03018584     -0.9912289     -10.70645     0.2181449     5.774723     -3.956795     3.54912     1.741265     1.423471     -0.7976393     -0.3464699     -3.798608     0.5008558     -3.095406     0     0     
P4       6.995795     -0.04978943     0.004860089     -0.7490364     -12.76433     0.121062     4.116951     -3.168864     2.21862     1.504373     0.6739032     -0.5865393     -6.085786     -2.797978     0.3350218     -0.8707061     0     0     
