         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        Fz        RightEar        Pz        F4        C4        
Fp1       53.08283     -12.19284     9.303093     6.324225     -0.6684611     1.256953     0.191949     0.2241432     1.230238     0.4448398     -0.8365436     0.9111214     1.290828     0     0     0     0     0     
Fz       0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     
F3       25.48295     -11.86611     4.442542     5.300459     -0.3168925     2.205124     -0.070761     0.03898711     0.7932094     0.3994341     -0.3713341     0.503579     1.5421     0     0     0     0     0     
FCz       15.39468     -11.31029     8.172338     4.551584     -0.1275364     0.2950566     -7.323164     -0.7988436     0.4322046     0.855178     -1.324644     0.01111356     0.4812274     0     0     0     0     0     
FC3       17.87097     -10.82162     3.049248     4.181185     -0.2458875     1.702395     -0.331492     -0.4993484     0.09538992     0.1066744     -2.732407     -0.01957908     1.115697     0     0     0     0     0     
Cz       11.64863     -10.99144     7.008574     2.986521     -0.08454335     0.09931158     -2.105333     -1.400535     0.1217368     -7.309618     -1.514813     -0.282755     -0.350581     0     0     0     0     0     
C3       13.08943     -10.17271     3.089497     2.886761     -0.08258619     1.147193     -0.6973929     0.2139951     -6.997399     -0.1871642     -1.745768     -0.1088589     0.5625613     0     0     0     0     0     
CPz       9.333733     -10.11577     5.863037     1.529508     -0.02905083     0.2362253     -0.8271517     -7.03414     -1.341515     -0.1405706     -1.621061     -0.4607358     -1.045419     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
CP3       9.904971     -9.562854     3.114585     1.021013     -0.3192262     0.8793139     -0.587612     -1.44442     -1.18608     -0.1590372     -2.389718     -5.30649     -0.1502776     0     0     0     0     0     
Pz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
P3       7.571948     -9.12714     3.0971     -0.9819167     8.461847     0.8767772     -0.5837095     -1.923063     -1.47744     -0.2103484     -2.599093     -2.648361     -0.6427503     0     0     0     0     0     
Fp2       53.33007     -10.81338     25.02219     6.710078     -0.9471977     8.338267     -0.03203514     0.1916758     1.317274     0.237729     -0.8812793     0.7853934     0.6672001     0     0     0     0     0     
F4       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
FC4       15.62157     -9.582595     13.19412     3.80173     -0.3671299     -0.6049598     -0.1669755     -0.2987113     0.6553289     0.3185664     -1.021363     0.20127     -0.02160617     0     0     0     0     0     
C4       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP4       8.517759     -9.211788     8.113668     0.4686677     -0.1717915     -0.4726039     -0.5626829     -1.131669     -0.09186862     0.01842256     -1.514463     -0.2531944     -3.239485     0     0     0     0     0     
P4       6.29356     -8.991391     6.324082     -2.88029     -0.04520142     -0.3261755     -0.6336972     -1.362513     -0.2921706     0.0426103     -1.561356     -0.3548875     -2.699509     0     0     0     0     0     
