         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        Fp1        Cz        RightEar        Pz        Fp2        F4        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     
Fz       21.13571     10.29996     1.778983     -0.5400031     -3.081348     2.223705     -1.761181     1.547719     -1.187298     -0.0881654     0.5307332     0.8405929     0     0     0     0     0     0     
F3       21.94189     6.426036     3.14323     2.372447     -2.877085     1.992571     -1.485029     1.390462     -1.671487     -0.3264566     0.4217168     0.5819675     0     0     0     0     0     0     
FCz       13.33076     9.254314     2.580854     0.600015     -2.874368     2.2296     -4.754951     1.741137     -1.763415     -0.5001568     0.7386041     0.6742576     0     0     0     0     0     0     
FC3       14.34386     5.90676     4.137562     0.8278848     -2.519832     2.081077     -1.002852     1.690932     -1.931113     -4.168046     0.6624881     0.5399127     0     0     0     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     
C3       9.464815     6.345486     5.057888     1.497333     -1.649363     2.218859     -0.4249161     1.921642     -2.737331     -0.4771312     0.8239477     0.5431859     0     0     0     0     0     0     
CPz       6.677648     8.419082     2.94148     3.423366     -1.593036     2.641666     -0.4758031     2.378646     -1.624186     -0.8648589     1.394608     0.4332237     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
CP3       6.827459     6.745223     5.376072     2.167939     -0.2902496     2.191242     -0.3905231     1.93595     -1.121654     -0.5447442     0.8569583     0.4865584     0     0     0     0     0     0     
Pz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
P3       5.04909     6.80169     4.563442     2.765687     2.056526     2.187826     -0.3813006     1.876356     -1.362098     -0.7389932     0.8625434     0.4364371     0     0     0     0     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
F4       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
FC4       16.01709     11.2685     1.257149     0.8955438     -2.70409     -2.245316     -1.722337     0.5196813     -1.12936     -0.2535366     0.3127935     0.6670027     0     0     0     0     0     0     
C4       10.31822     10.02855     1.669333     2.16968     -2.358809     0.9208878     -0.8409094     0.1067461     -1.530171     -0.3949011     -3.525535     0.4098734     0     0     0     0     0     0     
CP4       6.942143     8.900973     2.106418     3.016933     -1.067744     1.576291     -0.857887     -2.587751     -1.300228     -0.6859279     0.7185503     0.6328682     0     0     0     0     0     0     
P4       4.989862     8.082574     2.376657     3.386985     0.5073757     1.855371     -0.414495     -0.9727365     -1.308696     -0.741738     0.5795818     -3.238074     0     0     0     0     0     0     
