         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        Fp1        Fp2        RightEar        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
F3       -7.140603     -3.445506     -15.91849     -5.508713     -6.225675     11.65201     2.484903     -0.2355926     5.434489     2.921093     -0.3378866     1.15883     -0.7751064     -3.384282     -0.3730191     0     0     0     
Fz       -11.60859     -3.405716     -10.99971     -6.166628     -9.495785     11.61325     3.031882     1.039142     6.730326     3.410277     0.1935905     -5.56318     -0.8796117     -0.7199822     -1.345784     0     0     0     
F4       -16.15821     -2.747176     -5.700146     -5.5622     -6.183763     14.42299     1.825077     0.9201438     5.571038     0.8571403     -0.7983643     1.903436     -1.827829     1.113873     -0.527244     0     0     0     
FC3       -8.804093     -5.098873     -17.10127     -7.048529     -6.418367     6.353456     1.678712     -3.300041     5.535336     2.912799     -0.9912751     0.0536516     -0.4789996     2.203665     -0.1181907     0     0     0     
FCz       -12.7542     -4.902708     -10.89042     -8.537625     -12.34833     6.164464     2.530207     0.5887399     8.026326     3.989538     0.3652781     -1.651857     -1.580543     -1.249825     -3.637521     0     0     0     
FC4       -19.07813     -3.888505     -6.562298     -6.977138     -5.891818     7.872698     1.162711     0.5077191     5.936369     -1.831483     0.1282583     -0.06131834     -0.5991843     -1.499378     -0.3512478     0     0     0     
C3       -8.739163     -8.240213     -12.78083     -9.101659     -7.27166     3.722852     -0.4504569     -11.00063     3.772783     2.048444     -6.280374     -0.1676637     -1.459483     -1.104901     -0.2331832     0     0     0     
Cz       -11.39264     -8.984225     -8.548676     -12.65381     -11.2778     3.515913     0.1075948     -0.9714589     7.311433     1.343766     -0.3124409     -0.7454231     -1.167186     -0.7349761     1.542623     0     0     0     
C4       -15.73333     -6.795009     -5.721249     -9.192329     -7.902079     4.655033     -2.160909     -0.9618179     5.957541     -8.913186     -0.3533428     0.1020721     -4.458425     -0.8908956     -0.5717605     0     0     0     
CP3       -9.11141     -13.4227     -10.86311     -10.13207     -8.059671     2.602848     -4.572924     -15.46148     -1.475149     0.3071122     -0.05056378     -0.1854323     -0.9486634     -0.2982257     0.6118944     0     0     0     
CPz       -10.34365     -16.42362     -7.275039     -14.08511     -8.639322     2.332435     -4.643567     -3.879874     5.374287     -1.290458     -0.3765438     -0.5773288     -0.8220856     -0.5585908     0.3630092     0     0     0     
CP4       -13.82647     -10.70675     -5.481939     -10.12243     -9.66759     3.257357     -8.517742     -2.215767     5.893649     -12.14355     -0.7320546     0.3025429     0.4784222     -0.4927566     -1.112859     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       -9.619182     -19.71063     -9.95799     -9.525851     -9.212633     1.127065     -10.338     -11.36654     -7.783437     -0.8027575     -0.6048107     -0.1615551     -0.9851294     -0.3210414     0.2205344     0     0     0     
Pz       -10.43823     -22.5445     -6.939911     -10.64461     -8.763357     1.151428     -10.71499     -5.574451     2.231948     -2.691202     -0.3824813     -0.3651695     -0.9651446     -0.4605993     1.196875     0     0     0     
P4       -12.75367     -15.69584     -5.585702     -9.549922     -8.187684     1.544212     -18.79314     -2.849724     4.520299     -8.637832     -0.3016473     -0.4769539     -0.8473846     -0.3698346     0.3676975     0     0     0     
