         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        Fp1        Fp2        Cz        RightEar        
Fp1       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
F3       17.0062     5.658552     1.446885     1.167941     3.616431     1.853168     0.9475281     0.608273     1.12332     -1.307215     -1.2659     -0.4487112     -0.4795978     -0.1292544     0     0     0     0     
Fz       15.06283     7.28021     2.069992     5.965764     2.752231     1.850091     0.9583947     1.231186     1.766743     -1.446677     0.07246131     -3.741036     -0.1957901     0.5541551     0     0     0     0     
F4       14.49515     6.224658     1.750118     10.29809     2.495472     1.53151     0.3944702     1.141136     1.96796     -2.11171     -1.617036     -0.6190282     -0.2734204     -0.2094495     0     0     0     0     
FC3       11.86101     7.759594     2.368053     0.1471205     1.354212     1.862201     0.4407328     -1.150255     0.4352949     -2.101925     -0.9854426     -0.8062391     -0.9686306     -0.7208378     0     0     0     0     
FCz       11.11277     9.524751     3.549683     4.390644     2.890562     1.793495     0.4677276     1.360686     1.640045     -1.008098     2.610883     -1.764006     0.3572289     1.392772     0     0     0     0     
FC4       10.02625     7.281637     3.01791     7.57252     4.429572     1.042401     -0.8401397     0.7316774     2.038805     -2.159924     -1.119252     -1.024395     0.2684612     -0.9303319     0     0     0     0     
C3       9.155411     7.816909     3.692866     0.7228062     1.839018     1.530017     -0.4499615     -4.335736     -0.6183689     1.491065     0.4716462     -0.8020293     -0.2604798     -0.7788582     0     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
C4       8.098108     6.832656     4.2414     5.863532     3.955237     -0.2857047     -3.810096     -0.1418075     1.46616     -1.992552     1.875073     -1.146544     1.048109     -2.681433     0     0     0     0     
CP3       7.776425     6.421933     5.054838     1.069161     2.365482     0.8139324     -1.213048     -6.085461     -2.229971     -1.014928     1.682729     -0.7971281     0.9092664     0.2337117     0     0     0     0     
CPz       7.882204     7.431221     8.107723     2.82273     1.10332     0.1932752     -2.199041     -1.568827     -0.3091231     -0.250804     1.275838     -1.031091     3.676591     -0.2245374     0     0     0     0     
CP4       7.079593     6.178755     5.811477     4.332848     3.144295     -2.715733     -6.197716     -0.9685192     0.244306     -1.51813     0.8665217     -1.247335     1.056404     -0.6866693     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
P3       6.709023     5.10447     6.70339     1.65273     3.220054     -0.5713505     -1.641396     -4.467013     -6.24906     -1.215831     2.120584     -0.8389855     0.6269258     0.1505258     0     0     0     0     
Pz       6.905069     4.901654     10.57584     2.643496     2.108904     -1.879582     -2.594456     -2.48127     -1.528114     -1.135758     2.280977     -0.9858308     -0.1956277     -0.006315116     0     0     0     0     
P4       6.330564     4.951178     6.897716     3.333263     2.674701     -7.898309     -4.891382     -1.453007     -1.606257     -1.510701     0.8797432     -0.8159428     0.8596208     -0.3624445     0     0     0     0     
