         Fp1        Fp2        F3        Fz        F4        FC3        FCz        FC4        C3        Cz        C4        CP3        CPz        CP4        RightEar        P3        Pz        P4        
F00       0     0     0.1312684     0.02059877     0.0121885     -0.01443011     -0.1429648     -0.02842636     -0.02510223     0.09406512     0.002568002     -0.01273802     -0.03565925     0.002300108     0     0.0112545     0.007032361     0.007750363     
F01       0     0     -0.140562     0.1140789     0.05480322     -0.002632493     -0.05400059     0.04463008     0.01952334     0.01088902     -0.01420169     0.01674318     -0.024665     -0.02237114     0     -0.0009844336     0.01639517     0.004965049     
F02       0     0     -0.01269716     -0.1161531     -0.03409914     0.01105608     0.3797015     -0.05402642     -0.05342017     -0.08342796     -0.0102381     0.02997906     -0.1313491     0.04673518     0     -0.006262855     0.08125259     -0.01890775     
F03       0     0     0.01460112     -0.04554403     -0.002557913     -0.009533764     0.1281044     0.01466312     -0.008854088     -0.02359713     0.006277605     0.06617075     -0.2869702     0.0445722     0     -0.02137726     0.1203271     -0.004546586     
F04       0     0     -0.005769914     -0.007170885     -0.005852894     0.0117382     0.05332084     0.003111396     0.140588     -0.09476491     0.006242607     -0.2217996     0.07591019     0.01494349     0     -0.03002885     0.06229372     -0.03264864     
F05       0     0     0.1076732     -0.02900667     -0.002634956     0.0009271351     -0.009811806     -0.02209763     -0.3820873     0.167657     -0.009542909     0.1714143     -0.0190174     0.001623775     0     0.02246504     -0.02364722     -0.005002989     
F06       0     0     -0.002887092     -0.0287218     0.004691079     0.005986581     0.04972152     0.03399752     0.0007017663     -0.05041809     0.03731683     -0.03022473     0.008174124     -0.011229     0     0.03085973     0.1278047     -0.2030611     
F07       0     0     -0.001404615     -0.01924687     0.0003120401     0.0006901996     -0.03599112     0.007450672     -0.03704667     0.1519729     0.005517134     0.05997966     0.02284306     -0.04884044     0     0.03589384     -0.2447025     0.1075401     
F08       0     0     -0.1828629     0.3838499     -0.02355016     -0.005123497     -0.07886832     -0.1968147     0.04892796     -0.05266169     0.01850161     -0.01202384     0.08968098     0.002311722     0     -0.002591219     -0.04468099     0.01881695     
F09       0     0     -0.009865081     -0.01657678     -0.02873047     0.005148481     0.00620436     0.2158105     0.005919577     0.03427058     -0.3305484     -0.009680249     0.03215455     0.08241328     0     0.0001103252     -0.03354678     0.03988453     
F10       0     0     0.03008056     -0.2305956     0.2373487     0.01161305     0.1209155     -0.2147635     0.005535564     0.03742595     -0.008989776     -0.01109015     -0.02346988     0.04167333     0     0.001242086     -0.0008301763     -0.005613023     
F11       0     0     -0.008852308     0.07047702     -0.01974308     0.002430573     -0.06648107     -0.02461925     -0.0257639     0.03747246     -0.119167     0.0422135     -0.0980721     0.4018801     0     -0.01174772     0.06599415     -0.2463411     
F12       0     0     0.008618732     -0.02244296     0.01804264     0.002058443     0.0125747     -0.002929053     -0.1406789     0.02803279     0.007098171     0.3439091     -0.08939181     -0.05451172     0     -0.2540323     0.1211505     0.0153026     
F13       0     0     0.1468112     -0.05028079     -0.01328271     -0.2867794     0.05680416     0.001269624     0.1851275     0.01478102     -0.00200531     -0.03330044     -0.03668887     0.004936246     0     -0.01497475     0.02559941     -0.01060043     
F14       0     0     0.03043633     -0.07586878     -0.02787545     -0.007634128     0.3066981     0.03425755     -0.04720019     -0.5014777     0.02951886     0.04945672     0.3695292     -0.04650707     0     -0.002976214     -0.1508358     0.03741099     
Fp1       1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
Fp2       0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     
