         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        RightEar        P3        Fp2        
Fp1       36.00674     3.253801     1.519436     -6.415797     -1.552134     4.240315     0.6115289     0.8701761     -2.922444     0.04565778     -1.035948     1.207649     -0.6478664     -1.871576     -0.3649875     0     0     0     
Fz       13.36934     9.926639     -0.6475602     -10.35317     -3.740508     3.773604     0.2389591     1.202396     -0.9306653     1.279054     -0.3335138     0.5396864     -0.1010086     -0.7424914     0.6630381     0     0     0     
F3       15.4525     8.015963     -0.4766672     -8.222744     -2.245475     3.838731     0.5822667     0.4817717     -5.540768     0.4722927     -0.329622     0.5697817     -0.2579567     -2.903734     0.288896     0     0     0     
FCz       8.849211     13.71271     -1.680861     -7.312396     -2.914627     3.320577     0.0003039035     1.010747     -0.2781203     1.54796     -0.5026736     0.509387     -0.07753967     -0.6968857     0.5716378     0     0     0     
FC3       8.936991     10.46556     -1.892592     -6.252838     -2.162929     3.096501     0.3118201     -1.245537     -6.822512     0.1253324     -0.06229234     0.423746     -0.1598268     0.176641     0.5774122     0     0     0     
Cz       6.511091     14.49414     -3.899256     -4.247236     -2.317231     2.33509     -0.9238278     -0.1764519     -0.1496947     -2.672988     -0.243969     4.252897     0.1880767     -0.5381357     0.4249105     0     0     0     
C3       6.591148     11.21144     -3.758874     -4.208889     -1.685877     2.138506     -0.4296512     -4.625755     -4.618616     -1.361866     0.04548435     1.601669     -4.252855     0.325928     0.4880882     0     0     0     
CPz       5.063614     13.63249     -8.338961     -2.843372     -2.149065     0.8490107     -1.459292     -1.535453     -0.3891562     -6.092292     -1.120738     -0.2681381     -0.06360718     -0.2940212     0.4567597     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
CP3       4.885384     10.62222     -7.229196     -2.880612     -1.684021     0.206288     -1.234439     -9.051753     -3.503858     -2.641966     -0.4546809     -0.05052516     -0.2306994     0.173585     0.5280245     0     0     0     
Pz       3.686498     11.37877     -14.57943     -2.183284     -2.090906     -2.725406     -1.963945     -2.837372     -0.9959127     -4.761145     -1.012492     0.2385961     0.06165168     0.1823183     0.4366939     0     0     0     
P3       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
Fp2       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
F4       13.74719     7.765397     -0.1837562     -7.104307     -9.132277     2.992476     -0.8197878     1.180489     0.03063004     0.3284372     -0.3857762     0.3754824     -0.1433877     -1.070518     -2.110393     0     0     0     
FC4       8.72721     9.330546     -1.367638     -4.851786     -8.51312     1.724399     -3.162133     0.709078     0.04262185     -0.223088     -0.3393012     0.2884392     0.02656804     -0.6489531     1.595773     0     0     0     
C4       6.286777     10.3739     -3.448014     -3.389625     -5.692773     -0.372249     -7.405976     -0.4173698     0.1697453     -2.054193     -1.152063     0.09170452     0.05345742     -0.4187568     0.8617432     0     0     0     
CP4       4.744403     10.36726     -6.361683     -2.705244     -4.776657     -4.294956     -7.90854     -1.564017     -0.1650044     -3.751438     -4.478757     0.3260113     0.0895174     -0.1450803     0.7204925     0     0     0     
P4       3.370379     9.713721     -10.18594     -2.152803     -3.540276     -11.00638     -5.810138     -2.129913     -0.4522266     -4.264089     -3.334818     0.001063913     0.05836407     0.06673518     0.5979434     0     0     0     
