         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       36.77703     5.477255     3.73996     4.603533     -0.3416949     -3.311223     2.820333     3.231875     -0.4145162     0.6174047     1.473591     -0.03076852     -1.46954     -0.6927359     -0.06789707     -0.8465317     0.1615608     0     
Fz       11.57293     7.187734     5.310057     6.33573     -0.7851197     -3.170424     3.401157     1.892039     -1.155852     0.5920523     1.263539     -0.8923321     -0.9394923     -0.2608347     -0.249991     -0.2591051     0.2264585     0     
F3       13.66767     7.231734     2.553868     4.8139     -0.6355829     -4.496689     2.775431     2.143371     -0.5410877     0.6350448     1.324903     -0.6693144     -0.5853437     -0.4413436     -0.1212002     -1.967157     0.238461     0     
FCz       7.305228     8.326154     4.671237     4.926565     -1.704629     -1.629987     3.398218     1.035775     -1.496721     0.1629746     1.249806     -4.907836     -0.8416193     0.1321595     -0.08296268     0.1190504     0.5271785     0     
FC3       8.589245     7.842713     1.630551     3.276503     -1.246985     -4.437333     1.917685     1.550673     -0.5150381     0.3861894     1.265719     -0.7346933     -0.316266     -0.5927806     -0.1079198     0.2442708     0.04194041     0     
Cz       5.216879     9.282241     4.138144     3.348664     -3.542877     -0.3904361     2.712509     -0.1269903     -1.607548     -0.4128024     0.9457955     -1.140785     -0.4451542     -0.411802     -0.2014861     -0.02993708     0.06567123     0     
C3       5.778481     7.719562     1.720385     2.407499     -2.709752     -3.201366     0.2922378     0.3480417     -0.7237249     -0.201124     1.195857     -0.9082236     -0.2197386     -2.269744     -0.06200026     0.237547     -0.626899     0     
CPz       4.111041     8.351863     3.59184     2.547731     -5.988219     -1.058498     1.601597     -2.257299     -1.549159     -1.403717     0.330309     -0.8879947     -0.3441283     -0.5697666     -0.1388266     0.01518404     -0.1759908     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       4.256288     7.46404     2.003637     2.085927     -4.012857     -2.69672     -1.423851     -1.219158     -0.8142068     -0.7746816     0.9720565     -0.9916155     -0.1567889     -1.223724     -0.02653004     0.1410997     -2.194131     0     
Pz       3.267984     7.407349     3.197616     2.028289     -5.212371     -1.733184     -0.09588102     -5.226021     -1.208075     -2.002458     -0.844987     -0.7405819     -0.3400262     -0.5566576     -0.05536664     -0.04849935     -0.4146887     0     
P3       3.28752     6.914637     2.172856     1.925149     -4.383102     -2.543987     -3.525398     -2.832022     -0.8493552     -1.207265     0.3168607     -0.7340911     -0.1812957     -0.8539664     -0.03013362     0.03236066     -0.5702047     0     
Fp2       31.38384     4.709751     9.491455     3.554425     -0.3015144     -3.648535     3.564129     3.229717     -0.4775479     0.8048684     1.399465     -0.3423769     1.447509     -0.6747233     -0.1826507     -1.043504     0.2229437     0     
F4       12.57008     5.812429     7.837898     4.106839     -0.6322796     -3.420008     3.445266     1.959545     -1.872903     0.3441513     0.8972294     -0.6955725     -2.781925     -0.1321947     -0.3377222     -0.4183822     0.1899243     0     
FC4       7.650067     6.288171     6.322724     3.617065     -1.355214     -2.322159     3.104498     0.9046413     -3.819184     -0.6304674     0.3649201     -1.1237     -1.674643     -0.09113227     -2.953403     -0.1755776     0.03295228     0     
C4       5.34827     6.436184     5.112912     2.633657     -2.697363     -1.506585     2.41855     -0.366289     -4.740004     -2.4724     -0.7150922     -0.8011055     -0.8505203     -0.1922155     -0.2886021     -0.0575019     -0.1011213     0     
CP4       3.955313     6.350632     4.337549     2.130602     -3.741864     -1.410318     1.352417     -2.005011     -2.928581     -4.301717     -2.260988     -0.6924556     -0.6227726     -0.1957989     -0.2050485     -0.04080072     -0.2194215     0     
P4       3.109344     6.244254     3.622074     1.879003     -4.218192     -1.494798     0.0516877     -4.050256     -1.898422     -3.344462     -4.884684     -0.7733904     -0.4680615     -0.2500212     -0.09161544     -0.0386293     -0.3467631     0     
