         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        Cz        RightEar        FC4        
Fp1       76.96764     12.96481     2.760745     3.558446     -4.835891     -0.4662063     1.041243     0.2735975     -1.049535     -0.05583493     3.032293     3.690913     2.364466     -2.276417     -1.928509     0     0     0     
Fz       29.5639     9.112066     9.494003     5.130225     -1.411447     -1.519431     3.147147     -0.07596562     -3.982586     -0.6697596     -1.114476     0.7937386     0.852432     -0.4670837     -1.019477     0     0     0     
F3       29.46754     4.402511     9.332475     4.845539     -0.8210517     -1.686185     5.375724     -1.895812     -3.934833     -1.416677     -0.8788027     0.6086719     0.001530644     -0.4793165     1.473876     0     0     0     
FCz       19.87357     6.680553     9.827453     6.561942     -0.2676333     -2.143649     2.077882     0.06533384     -1.33484     -1.201773     -1.75425     -0.007995493     0.3965192     -0.3469822     -0.249774     0     0     0     
FC3       21.34728     2.350977     9.245621     4.507057     -0.04348614     -1.965448     4.894248     -1.482501     -1.284814     -2.939377     -1.287987     0.6477582     -0.2382849     -0.5169104     -1.028894     0     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     
C3       15.47414     2.337771     9.063733     3.26088     1.062145     -2.032372     2.638079     -0.9004003     0.6718209     -4.588791     -1.482316     0.3516426     -0.1229312     -0.9459957     -0.1779928     0     0     0     
CPz       11.76818     4.720863     8.842189     2.837655     3.515047     -3.20224     0.5520028     0.1544937     2.635496     -1.878707     -2.286694     -1.514691     0.2342878     0.6770093     0.6506938     0     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
CP3       11.84017     2.446299     9.384099     1.386403     2.732327     -1.776671     1.309353     -0.5180111     2.216729     -3.471967     -1.222003     0.4269631     0.04558071     -1.582339     0.4745681     0     0     0     
Pz       10.07956     4.115108     8.349442     1.676865     5.326632     -2.990857     0.2863103     0.248664     3.120437     -1.700421     -2.943086     0.3064093     0.2874953     1.02984     1.054036     0     0     0     
P3       9.820054     2.725583     8.478741     0.955107     5.466279     -1.982426     0.6337553     -0.1133674     2.44443     -2.564575     -1.307751     0.1782313     0.2321414     -1.80453     0.6016498     0     0     0     
Fp2       68.64698     23.46728     2.432708     3.308482     -4.836195     -0.3173368     2.151202     -9.401829     -1.477167     0.2603897     2.441375     3.456072     3.718952     -2.401601     -2.12306     0     0     0     
F4       27.34076     12.75801     7.908122     4.018842     -1.942523     -1.939352     5.716579     1.542214     -2.425253     -0.7558808     -0.3362015     0.9239361     1.26847     -0.7240969     -0.4600029     0     0     0     
FC4       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
C4       13.93833     7.846443     7.793562     3.404134     0.5036523     -5.439459     1.634043     0.6239039     1.013191     -1.346554     -0.01462899     -0.2238865     -2.53071     0.2887591     0.2225025     0     0     0     
CP4       10.88178     6.136384     7.654156     2.050559     2.48754     -5.786034     0.7792253     0.4757732     1.870963     -1.372979     0.486045     -0.3644266     0.3305591     1.315007     0.5767268     0     0     0     
P4       9.120073     5.046387     7.509851     1.412794     5.270903     -3.929634     0.2223623     0.5250324     2.636272     -1.39617     0.670946     -0.07298807     0.2917254     2.522129     0.8324278     0     0     0     
