         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        Fz        RightEar        
Fp1       75.68069     17.46421     8.416454     7.80068     10.48146     -7.541519     1.702214     2.057522     0.9781728     -1.987148     -0.8148251     -0.2007208     -2.148823     -0.399479     -0.1578346     0.768679     0     0     
Fz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
F3       30.55231     13.64029     6.282507     5.774383     -7.767699     -5.581336     1.139006     2.380117     1.806025     0.01306613     -1.078444     2.537917     -4.027478     -0.6071009     -0.1432366     1.115235     0     0     
FCz       18.41533     18.03774     -1.946988     6.327955     -1.075582     -2.65143     1.755321     2.049527     2.322724     0.3848284     0.5589861     0.7688996     -0.0863259     -0.3787469     -0.346152     -0.8354767     0     0     
FC3       19.14404     13.70248     4.603996     4.912472     -1.813659     -2.825382     0.4972489     1.74027     1.753824     -0.001672791     -1.913011     6.275087     -0.5030717     -0.284305     -0.4826067     -0.1463734     0     0     
Cz       13.76954     17.22285     -1.736913     5.293058     -0.4031311     -1.74307     -1.581266     2.218304     1.894414     -0.07052345     -0.01008112     0.9174138     -0.08887039     -0.2341399     -0.08304741     2.255482     0     0     
C3       13.95533     13.87868     2.861719     3.696555     -0.09929651     -1.20115     -1.352267     1.668442     1.48498     0.13525     -4.088244     4.412602     -4.801168     0.2743842     -1.023321     0.1377487     0     0     
CPz       11.47932     16.13846     -1.599526     3.024196     -0.05424831     -1.252921     -5.361455     2.165084     1.608127     -0.7639863     -0.5986445     0.9314611     -0.2907282     -0.09222466     0.05174139     1.241815     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       11.2152     13.57611     1.28315     1.863958     -0.1216811     -1.124563     -3.860528     1.533219     1.054749     -0.1027063     -6.945374     2.239269     0.105989     -0.1681189     -1.637267     0.5381305     0     0     
Pz       9.662621     14.70964     -1.500973     -0.682916     -0.004598293     -1.179612     -6.756051     1.934972     1.232446     -0.6989691     -0.8403444     0.8300443     0.07610132     0.1731328     -3.42568     0.6661717     0     0     
P3       9.463645     13.20423     0.3519348     -0.6119331     -0.1497144     -1.084429     -5.235912     1.512763     0.9304007     0.05649429     -6.01654     1.543081     1.474047     5.884751     -2.656542     0.2196791     0     0     
Fp2       83.61353     19.20689     -11.59529     8.421823     9.169437     -3.580471     1.736771     3.034085     -1.695918     -2.79525     -0.7237988     1.752591     -2.666167     -0.3056989     -0.1909272     0.4678243     0     0     
F4       35.92582     15.93171     -11.40807     6.420931     3.029358     -9.336267     1.222998     2.803581     1.932285     -2.134966     -0.05593905     1.780836     -3.46138     -0.4016593     -0.286157     -0.6602783     0     0     
FC4       21.52277     14.6732     -8.995958     5.02452     0.4987092     -4.411177     0.1427244     4.473634     7.338557     -3.260384     0.1216022     1.509374     -1.139994     -0.2509035     -0.572348     -0.8285835     0     0     
C4       15.20411     14.13727     -6.5747     3.363205     0.7789736     -2.68868     -1.803635     6.862248     3.599849     -5.400776     0.164905     0.7923116     -0.8154508     -0.2354154     -0.6898511     -0.6194121     0     0     
CP4       11.26751     13.7088     -4.253691     -0.0254969     -0.07390127     -1.883219     -3.74094     3.219396     2.159489     -6.586953     0.1431081     0.1992698     -0.1950358     -0.1012299     -0.7944161     0.4218666     0     0     
P4       9.257461     13.35248     -2.932782     -4.966374     -0.1239836     -1.436361     -4.560991     2.244384     1.460483     -4.215724     0.1058125     0.2349798     0.2602319     -0.02635131     -0.197626     0.9223146     0     0     
