         Fp1        Fz        F3        FCz        FC3        Cz        C3        CPz        RightEar        CP3        Pz        P3        Fp2        F4        FC4        C4        CP4        P4        
F00       0.005202979     0.01127206     0.03952563     -9.162088E-06     -0.03205625     0     -0.002589187     -0.02277198     0     0.008380042     0.007728497     -0.0007661408     -7.830713E-05     7.380636E-05     -0.004881404     -0.001850429     0.004195251     0.002188851     
F01       7.101666E-05     -0.009534984     -0.004085016     -4.916282E-06     0.004690976     0     0.0008831336     0.00323652     0     -4.196994E-05     -0.001328345     -0.0004409917     -3.984643E-05     0.01687173     -0.01373847     0.003986591     -0.0003092152     -0.000137251     
F02       0.000277525     -0.009224699     0.002314687     0.01946511     -0.00430344     0     -0.001204526     -0.008849348     0     0.001359128     6.533481E-06     0.001401642     -4.742952E-07     7.180751E-06     -0.001360308     -0.001512534     0.001131441     0.000877367     
F03       0.0235725     -0.06462726     -0.0626893     -4.86199E-05     0.05612511     0     0.008627014     0.04237204     0     -0.01818088     -0.00364861     -0.004092665     0.006954703     -6.546963E-05     0.01414418     -0.003282717     -0.005845964     -0.002481914     
F04       0.0005399786     0.01813294     -0.01237916     -4.85226E-05     0.00263888     0     0.02197138     0.02296494     0     0.006588331     -0.1225039     -0.001705376     -0.0001369707     -1.145502E-05     0.01400993     0.006717706     -0.001293791     -0.001478987     
F05       -0.03576871     0.005073493     0.01323336     7.139074E-05     0.00191512     0     -0.007132413     -0.002780036     0     0.007894985     -0.002138348     -0.0005843278     0.03123967     4.30816E-06     -0.01110553     0.002719546     -0.0007292641     -1.823268E-05     
F06       -0.00091503     -0.1081275     0.0139178     -0.0001257492     0.01329316     0     0.008707427     -0.03443773     0     0.008423666     -0.005432938     0.0002341559     0.0003316135     -2.733519E-05     0.1505074     0.003767974     -0.01166354     -0.002945431     
F07       -0.0003092335     -0.1720789     0.1318516     -0.0001312615     0.01265503     0     -0.03823075     0.0536713     0     -0.005790032     0.009665402     -0.01301659     0.0003622991     -3.513242E-05     0.0292537     -0.01168244     -0.002990986     -0.001899743     
F08       -0.001897568     -0.01992169     0.01447687     -0.0002391897     -0.01245448     0     -0.03810566     0.307255     0     0.01363923     -0.2596568     0.0266335     -0.0004162703     2.977482E-05     -0.0113075     -0.01150908     0.0008158208     0.003444908     
F09       -0.001739283     -0.002752887     -0.04347957     -7.305255E-05     0.04902012     0     0.1445162     -0.07679961     0     0.00265955     0.003613326     -0.02830298     0.001169673     2.897064E-06     -0.03274689     0.009089141     0.005200654     0.004452395     
F10       0.0008850867     -0.003330543     -0.01978793     8.093363E-05     0.03738023     0     0.0502414     -0.03927433     0     -0.03044078     0.1895316     -0.1807398     -4.026893E-06     -2.404492E-05     -0.00460386     -0.005859029     -0.006328951     0.00112752     
F11       -0.004091304     0.001475065     0.1028314     -3.924405E-05     -0.3398633     0     0.3028327     -0.01819382     0     -0.03313458     0.01320018     -0.03818153     0.00122099     -1.442907E-05     0.01011986     -0.001877342     -0.006950651     0.003177309     
F12       0.0005189741     -0.003911007     0.006943676     -5.769082E-06     -0.003850015     0     -0.016789     -0.0471455     0     -0.004519362     0.1316201     0.01040359     -0.0001257298     -5.998435E-07     -0.03225074     0.0592741     0.05742266     -0.1632961     
F13       -0.001625621     -0.009302565     -0.01117522     2.422445E-05     0.0004811234     0     0.007893332     0.01946635     0     -0.00208851     0.08379782     -0.01208555     0.0005250459     -3.621515E-05     0.1680293     -0.2320356     -0.02421711     0.003682969     
F14       -0.003288467     -0.0008889712     -0.006974131     -4.126608E-05     -0.003621801     0     0.2012644     0.006800788     0     -0.3558577     0.007638132     0.1586022     0.001331534     -7.720443E-06     -0.0007353399     -0.008945165     0.01205313     -0.007161322     
F15       0.001364701     -0.005655209     0.002882824     -1.84775E-05     0.007049237     0     -0.01415704     -0.01320064     0     -0.01211782     0.0961446     0.002739315     -0.000170357     4.1315E-05     -0.06295343     0.2609592     -0.2946859     0.02787544     
Cz       0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     
RightEar       0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     
