         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        Cz        RightEar        
Fp1       43.5061     -19.44164     -3.376369     6.404998     3.508887     4.43992     0.8607801     0.8472889     1.69907     1.042949     -0.5281513     -0.3831154     -0.6103936     0.3462502     -0.8957394     -0.286222     0     0     
Fz       16.50688     0.259567     -4.899441     8.945009     6.575302     3.996642     0.6390539     -1.648455     1.442742     -0.1606471     -0.2815348     -0.2800403     -0.08602395     0.4042281     -0.5961437     0.7695966     0     0     
F3       18.18194     -0.3455418     -4.080001     6.882812     5.161834     5.612601     0.14067     3.099878     1.649508     6.964767     -0.5327036     -0.3567717     -0.797388     0.3772123     -1.131668     -0.1761774     0     0     
FCz       10.31624     0.2003132     -6.363739     6.336121     9.152303     3.69851     0.08938882     -1.36571     1.510782     -0.1956453     -0.273655     -0.2207011     -0.01978071     0.2139254     -0.5889145     1.058864     0     0     
FC3       11.56432     0.2111867     -4.595532     5.370302     5.035047     6.623795     -0.7185766     3.678375     1.844815     -0.3132924     -0.5574791     -0.376673     -1.13164     0.4041531     -0.8799036     -0.3037497     0     0     
Cz       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     
C3       7.912298     0.1433716     -5.302854     4.245997     4.694951     4.82151     -2.418879     2.117563     4.860213     -0.1478437     -0.4624372     -0.2648248     -1.20729     0.4410671     -0.7416868     0.04044646     0     0     
CPz       5.793005     0.1216751     -10.07509     3.956212     4.619119     3.034981     -4.483875     -0.9729409     1.655616     -0.05394952     -0.1080513     -0.2443776     -0.286427     0.2836487     -0.07457343     0.5009167     0     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       5.773388     0.2314711     -5.96147     3.955415     4.594198     3.319335     -5.194814     0.8241455     3.289287     -0.0686499     -0.3774859     -0.2374672     -2.12481     0.1845709     -0.4530394     -2.906939     0     0     
Pz       4.549101     0.1433084     -7.348669     3.431877     4.336429     2.66854     -8.51715     -0.8934851     1.731363     -0.1669479     -0.0909097     -0.1987945     1.56687     0.422115     -0.08033951     -0.1698142     0     0     
P3       4.484645     0.09184609     -5.609408     3.314445     4.063196     2.726189     -8.676012     0.02559844     2.267478     -0.07903925     -0.2729476     -0.2506313     -2.403889     0.5183427     -0.1786738     0.3852403     0     0     
Fp2       51.81485     0.2719151     -3.830274     3.777165     3.809219     4.468108     1.018461     -7.800872     1.606731     -1.28375     -0.1655009     -0.6245055     0.298363     0.4063554     -0.4635602     0.1919747     0     0     
F4       19.23717     0.2096069     -4.081673     6.352056     4.848281     5.319379     0.3397313     -6.191668     1.174497     -0.1114862     -0.1155298     -5.655255     0.4451851     0.813765     -0.1868435     0.4944636     0     0     
FC4       11.81266     0.05369883     -4.583298     5.49651     4.854525     6.667968     -0.5824944     -5.946496     1.261993     0.0285526     -0.2488368     0.3079928     0.6042908     0.3321669     0.4111429     0.3392737     0     0     
C4       7.937939     0.05851668     -5.57942     4.330697     4.567012     4.958561     -2.684624     -4.028026     1.2704     -0.1133954     3.801436     -0.178662     0.8888564     0.3602433     -1.022581     0.2977806     0     0     
CP4       5.890818     0.09078517     -6.166614     3.707844     4.312899     3.676432     -5.143815     -2.647278     1.359128     -0.05745981     3.802573     -0.2032152     1.227769     1.894202     2.538758     0.2357937     0     0     
P4       4.205828     0.07162756     -5.719323     3.032658     3.395781     2.791615     -8.588726     -1.939155     1.003548     -0.03750942     3.536331     -0.2712922     1.673557     -3.416908     2.432485     0.4740289     0     0     
